"Table S3: The table provides the IMPPAT Phytochemical identifier, Chemical name, SMILES, InChI and QEDw score for the 1335 drug-like phytochemicals in IMPPAT 2.0 identified in this study.",,,,
IMPPAT Phytochemical identifier,Chemical name,SMILES,InChI,QEDw
IMPHY009214,Portulic lactone,OC/C=C(/CC[C@@]1(CO)[C@H](C)C[C@@]23[C@@H]1CCC[C@@](C2)(OC3=O)C)\CO,"InChI=1S/C20H32O5/c1-14-10-20-12-18(2,25-17(20)24)7-3-4-16(20)19(14,13-23)8-5-15(11-22)6-9-21/h6,14,16,21-23H,3-5,7-13H2,1-2H3/b15-6-/t14-,16-,18+,19-,20+/m1/s1",0.5038
IMPHY004403,Neobavachalcone,O=Cc1cc(C(=O)/C=C/c2ccc(cc2)O)c(cc1OC)O,"InChI=1S/C17H14O5/c1-22-17-9-16(21)14(8-12(17)10-18)15(20)7-4-11-2-5-13(19)6-3-11/h2-10,19,21H,1H3/b7-4+",0.5036
IMPHY005053,Isoneobavachalcone,COc1cc(O)c(cc1C(=O)/C=C/c1ccc(cc1)O)C=O,"InChI=1S/C17H14O5/c1-22-17-9-16(21)12(10-18)8-14(17)15(20)7-4-11-2-5-13(19)6-3-11/h2-10,19,21H,1H3/b7-4+",0.5036
IMPHY009061,Portulide,OC/C=C(/CC[C@@]1(C)[C@H](CO)CC[C@@]23[C@@H]1CCC=C3C(=O)OC2)\CO,"InChI=1S/C20H30O5/c1-19(8-5-14(11-22)7-10-21)15(12-23)6-9-20-13-25-18(24)16(20)3-2-4-17(19)20/h3,7,15,17,21-23H,2,4-6,8-13H2,1H3/b14-7-/t15-,17+,19-,20+/m0/s1",0.5035
IMPHY014152,n-Caffeoyltyramine,O=C(/C=C/c1ccc(c(c1)O)O)NCCc1ccc(cc1)O,"InChI=1S/C17H17NO4/c19-14-5-1-12(2-6-14)9-10-18-17(22)8-4-13-3-7-15(20)16(21)11-13/h1-8,11,19-21H,9-10H2,(H,18,22)/b8-4+",0.503
IMPHY013193,"1,3,5,8-Tetrahydroxy-6-methoxy-2-methylanthraquinone",COc1cc(O)c2c(c1O)C(=O)c1c(C2=O)c(O)c(c(c1)O)C,"InChI=1S/C16H12O7/c1-5-7(17)3-6-10(13(5)19)16(22)11-8(18)4-9(23-2)15(21)12(11)14(6)20/h3-4,17-19,21H,1-2H3",0.5025
IMPHY001159,"1,3,4-Pentanetricarboxylic acid trimethyl ester",COC(=O)CCC(C(C(=O)OC)C)C(=O)OC,"InChI=1S/C11H18O6/c1-7(10(13)16-3)8(11(14)17-4)5-6-9(12)15-2/h7-8H,5-6H2,1-4H3",0.5024
IMPHY009910,8beta-Hydroxycoronopilin,O[C@@H]1C[C@@]2([C@](C1=O)(C)[C@@H]1OC(=O)C(=C)[C@@H]1CC[C@@H]2C)O,"InChI=1S/C15H20O5/c1-7-4-5-9-8(2)13(18)20-12(9)14(3)11(17)10(16)6-15(7,14)19/h7,9-10,12,16,19H,2,4-6H2,1,3H3/t7-,9-,10+,12+,14-,15+/m0/s1",0.5009
IMPHY014277,2beta-Hydroxycoronopilin,O=C1O[C@@H]2[C@H](C1=C)CC[C@@H]([C@]1([C@@]2(C)C(=O)C[C@H]1O)O)C,"InChI=1S/C15H20O5/c1-7-4-5-9-8(2)13(18)20-12(9)14(3)10(16)6-11(17)15(7,14)19/h7,9,11-12,17,19H,2,4-6H2,1,3H3/t7-,9-,11+,12+,14-,15-/m0/s1",0.5009
IMPHY007922,Dihydrorobinetin,Oc1ccc2c(c1)OC(C(C2=O)O)c1cc(O)c(c(c1)O)O,"InChI=1S/C15H12O7/c16-7-1-2-8-11(5-7)22-15(14(21)12(8)19)6-3-9(17)13(20)10(18)4-6/h1-5,14-18,20-21H",0.5005
IMPHY011967,Taxifolin,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@H](C(=O)c2c(c1)O)O,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H/t14-,15+/m0/s1",0.5005
IMPHY011968,"(2r)-2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydro-4h-chromen-4-one",Oc1cc2O[C@H](c3ccc(c(c3)O)O)C(C(=O)c2c(c1)O)O,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H/t14?,15-/m1/s1",0.5005
IMPHY014403,"Isoetin 5,7-dimethyl ether",COc1cc(OC)c2c(c1)oc(cc2=O)c1cc(O)c(cc1O)O,"InChI=1S/C17H14O7/c1-22-8-3-15(23-2)17-13(21)7-14(24-16(17)4-8)9-5-11(19)12(20)6-10(9)18/h3-7,18-20H,1-2H3",0.5
IMPHY003494,Acetylshikonin,CC(=O)OC(C1=CC(=O)c2c(C1=O)c(O)ccc2O)CC=C(C)C,"InChI=1S/C18H18O6/c1-9(2)4-7-15(24-10(3)19)11-8-14(22)16-12(20)5-6-13(21)17(16)18(11)23/h4-6,8,15,20-21H,7H2,1-3H3",0.4999
IMPHY014267,"6Beta,7Alpha-Dihydroxyroyleanone",O[C@@H]1[C@@H](O)C2=C([C@@]3([C@@H]1C(C)(C)CCC3)C)C(=O)C(=O)C(=C2O)C(C)C,"InChI=1S/C20H28O5/c1-9(2)10-13(21)11-12(16(24)14(10)22)20(5)8-6-7-19(3,4)18(20)17(25)15(11)23/h9,15,17-18,21,23,25H,6-8H2,1-5H3/t15-,17+,18-,20+/m0/s1",0.4998
IMPHY001804,boeravinone E,Oc1ccc2-c3c(C(Oc2c1)O)oc1c(c3=O)c(O)c(c(c1)O)C,"InChI=1S/C17H12O7/c1-6-9(19)5-11-13(14(6)20)15(21)12-8-3-2-7(18)4-10(8)24-17(22)16(12)23-11/h2-5,17-20,22H,1H3",0.4994
IMPHY005273,Peonidin chloride,COc1cc(ccc1O)c1[o+]c2cc(O)cc(c2cc1O)O.[Cl-],"InChI=1S/C16H12O6.ClH/c1-21-15-4-8(2-3-11(15)18)16-13(20)7-10-12(19)5-9(17)6-14(10)22-16;/h2-7H,1H3,(H3-,17,18,19,20);1H",0.4993
IMPHY014385,Adenostemmoic acid C,OC[C@@]1(O)[C@@H]2C[C@@H]([C@@H]3[C@]([C@@H]1O)(C2)CC[C@H]1[C@@]3(C)CCC[C@@]1(C)C(=O)O)O,"InChI=1S/C20H32O6/c1-17-5-3-6-18(2,16(24)25)13(17)4-7-19-9-11(8-12(22)14(17)19)20(26,10-21)15(19)23/h11-15,21-23,26H,3-10H2,1-2H3,(H,24,25)/t11-,12+,13+,14+,15+,17-,18-,19-,20-/m1/s1",0.4989
IMPHY009307,Pedicinin,COC1=C(O)C(=O)C(=C(C1=O)O)C(=O)/C=C/c1ccccc1,"InChI=1S/C16H12O6/c1-22-16-14(20)12(18)11(13(19)15(16)21)10(17)8-7-9-5-3-2-4-6-9/h2-8,18,21H,1H3/b8-7+",0.4979
IMPHY014205,Ventiloquinone G,C[C@@H]1O[C@H](C)c2c(C1)c(O)c1c(c2O)C(=CC(=O)C1=O)O,"InChI=1S/C15H14O6/c1-5-3-7-10(6(2)21-5)15(20)11-8(16)4-9(17)14(19)12(11)13(7)18/h4-6,16,18,20H,3H2,1-2H3/t5-,6+/m0/s1",0.4968
IMPHY005630,2-Amino-3-(2-carboxyethylsulfanyl)propanoic acid,OC(=O)CCSCC(C(=O)O)N,"InChI=1S/C6H11NO4S/c7-4(6(10)11)3-12-2-1-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)",0.4964
IMPHY014647,"2-Acetoxy-4,5-dimethoxycinnamic acid",COc1cc(C=CC(=O)O)c(cc1OC)OC(=O)C,"InChI=1S/C13H14O6/c1-8(14)19-10-7-12(18-3)11(17-2)6-9(10)4-5-13(15)16/h4-7H,1-3H3,(H,15,16)",0.4962
IMPHY005544,Biotin,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1",0.4935
IMPHY009302,Portulal,OC/C=C(/CC[C@@]1(CO)[C@H](C)C[C@]2([C@@H]1CCC=C(C2)C)C=O)\CO,"InChI=1S/C20H32O4/c1-15-4-3-5-18-19(10-15,13-23)11-16(2)20(18,14-24)8-6-17(12-22)7-9-21/h4,7,13,16,18,21-22,24H,3,5-6,8-12,14H2,1-2H3/b17-7-/t16-,18+,19+,20-/m1/s1",0.4932
IMPHY005836,Methyl caffeic acid,OC(=O)/C(=C/c1ccc(c(c1)O)O)/C,"InChI=1S/C10H10O4/c1-6(10(13)14)4-7-2-3-8(11)9(12)5-7/h2-5,11-12H,1H3,(H,13,14)/b6-4+",0.4931
IMPHY000488,Apigenin-7-lactate,O=C(C(O)C)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(cc1)O,"InChI=1S/C18H14O7/c1-9(19)18(23)24-12-6-13(21)17-14(22)8-15(25-16(17)7-12)10-2-4-11(20)5-3-10/h2-9,19-21H,1H3",0.493
IMPHY003212,7beta-Hydroxylathyrol,O[C@@H]1C[C@H]2[C@H](C2(C)C)/C=C(\C(=O)[C@@]2([C@@H]([C@H](C1=C)O)[C@@H](O)[C@H](C2)C)O)/C,"InChI=1S/C20H30O5/c1-9-6-12-13(19(12,4)5)7-14(21)11(3)17(23)15-16(22)10(2)8-20(15,25)18(9)24/h6,10,12-17,21-23,25H,3,7-8H2,1-2,4-5H3/b9-6-/t10-,12+,13-,14+,15+,16-,17-,20+/m0/s1",0.4923
IMPHY012865,"1,5,6-Trihydroxy-3,7-dimethoxyxanthone",COc1cc(O)c2c(c1)oc1c(c2=O)cc(c(c1O)O)OC,"InChI=1S/C15H12O7/c1-20-6-3-8(16)11-9(4-6)22-15-7(12(11)17)5-10(21-2)13(18)14(15)19/h3-5,16,18-19H,1-2H3",0.4909
IMPHY012214,Malvidin chloride,COc1cc(cc(c1O)OC)c1[o+]c2cc(O)cc(c2cc1O)O.[Cl-],"InChI=1S/C17H14O7.ClH/c1-22-14-3-8(4-15(23-2)16(14)21)17-12(20)7-10-11(19)5-9(18)6-13(10)24-17;/h3-7H,1-2H3,(H3-,18,19,20,21);1H",0.4908
IMPHY009606,Ethyl gallate,CCOC(=O)c1cc(O)c(c(c1)O)O,"InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3",0.4867
IMPHY004629,Gibberellin A1,OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@]51CC(=C)[C@](C5)(O)CC4)CC[C@@H]([C@@]2(C)C(=O)O3)O,"InChI=1S/C19H24O6/c1-9-7-17-8-18(9,24)5-3-10(17)19-6-4-11(20)16(2,15(23)25-19)13(19)12(17)14(21)22/h10-13,20,24H,1,3-8H2,2H3,(H,21,22)/t10-,11+,12-,13-,16-,17+,18+,19-/m1/s1",0.4866
IMPHY008682,Gibberellin A77,OC(=O)C1C2C3(C4C51CC(=C)C(C5)(O)C(C4)O)CCCC2(C)C(=O)O3,"InChI=1S/C19H24O6/c1-9-7-17-8-18(9,24)11(20)6-10(17)19-5-3-4-16(2,15(23)25-19)13(19)12(17)14(21)22/h10-13,20,24H,1,3-8H2,2H3,(H,21,22)",0.4866
IMPHY010982,Gibberellin A29,O[C@H]1C[C@@]23OC(=O)[C@](C1)([C@H]3[C@@H]([C@@]13[C@H]2CC[C@](C3)(C(=C)C1)O)C(=O)O)C,"InChI=1S/C19H24O6/c1-9-5-17-8-18(9,24)4-3-11(17)19-7-10(20)6-16(2,15(23)25-19)13(19)12(17)14(21)22/h10-13,20,24H,1,3-8H2,2H3,(H,21,22)/t10-,11-,12-,13-,16-,17+,18+,19-/m1/s1",0.4866
IMPHY007085,Kynurenine,OC(=O)C(CC(=O)c1ccccc1N)N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)",0.4855
IMPHY002856,Jasmolactone A,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1CC(=O)OC[C@H]2OCCc1ccc(c(c1)O)O)O,"InChI=1S/C19H22O9/c1-25-18(23)12-8-28-19(24)17-11(12)7-16(22)27-9-15(17)26-5-4-10-2-3-13(20)14(21)6-10/h2-3,6,8,11,15,17,19-21,24H,4-5,7,9H2,1H3/t11-,15-,17+,19-/m1/s1",0.4853
IMPHY001669,Gibberellin A63,OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@@]51C[C@H](C(=C)[C@H]5O)CC4)CC[C@@H]([C@@]2(C)C(=O)O3)O,"InChI=1S/C19H24O6/c1-8-9-3-4-10-18(7-9,14(8)21)12(15(22)23)13-17(2)11(20)5-6-19(10,13)25-16(17)24/h9-14,20-21H,1,3-7H2,2H3,(H,22,23)/t9-,10-,11+,12-,13-,14-,17-,18-,19-/m1/s1",0.4843
IMPHY008718,"(1R,2R,5R,8R,9S,10R,11S,12R,13S)-12,13-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.1(5,8).0(1,10).0(2,8)]heptadecane-9-carboxylic acid",C=C1C[C@@]23C[C@H]1CC[C@H]3[C@@]13[C@H]([C@@H]2C(=O)O)[C@](C)(C(=O)O3)[C@H]([C@H](C1)O)O,"InChI=1S/C19H24O6/c1-8-5-18-6-9(8)3-4-11(18)19-7-10(20)14(21)17(2,16(24)25-19)13(19)12(18)15(22)23/h9-14,20-21H,1,3-7H2,2H3,(H,22,23)/t9-,10+,11-,12-,13-,14+,17+,18+,19-/m1/s1",0.4843
IMPHY010985,"(1S,2S,3S,5S,8R,9S,10R,11S,12S)-3,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadecane-9-carboxylic acid",OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@]51CC(=C)[C@@H](C5)C[C@@H]4O)CC[C@@H]([C@@]2(C)C(=O)O3)O,"InChI=1S/C19H24O6/c1-8-6-18-7-9(8)5-10(20)13(18)19-4-3-11(21)17(2,16(24)25-19)14(19)12(18)15(22)23/h9-14,20-21H,1,3-7H2,2H3,(H,22,23)/t9-,10+,11+,12-,13-,14-,17-,18-,19-/m1/s1",0.4843
IMPHY011559,Gibberellic acid,OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@]51CC(=C)[C@](C5)(O)CC4)C=C[C@@H]([C@@]2(C)C(=O)O3)O,"InChI=1S/C19H22O6/c1-9-7-17-8-18(9,24)5-3-10(17)19-6-4-11(20)16(2,15(23)25-19)13(19)12(17)14(21)22/h4,6,10-13,20,24H,1,3,5,7-8H2,2H3,(H,21,22)/t10-,11+,12-,13-,16-,17+,18+,19-/m1/s1",0.4838
IMPHY007094,Piceatannol,Oc1cc(/C=C/c2ccc(c(c2)O)O)cc(c1)O,"InChI=1S/C14H12O4/c15-11-5-10(6-12(16)8-11)2-1-9-3-4-13(17)14(18)7-9/h1-8,15-18H/b2-1+",0.4833
IMPHY002368,Acetylandromedienol,CC(=O)O[C@@H]1[C@H]2CC[C@@H]3[C@@]1(C=C2C)C[C@@H](O)[C@]1([C@H](C3=C)C[C@@H](C1(C)C)O)O,"InChI=1S/C22H32O5/c1-11-9-21-10-18(25)22(26)16(8-17(24)20(22,4)5)12(2)15(21)7-6-14(11)19(21)27-13(3)23/h9,14-19,24-26H,2,6-8,10H2,1,3-5H3/t14-,15-,16-,17-,18+,19+,21+,22-/m0/s1",0.483
IMPHY000974,Cinncassiol d2,OCC([C@@H]1C[C@@H]2[C@@]3([C@@]1(C)C1(O)O[C@@H]3[C@H]3[C@](C2(C1)C)(O)CC[C@]3(C)O)O)C,"InChI=1S/C20H32O6/c1-10(8-21)11-7-12-15(2)9-19(24)17(11,4)20(12,25)14(26-19)13-16(3,22)5-6-18(13,15)23/h10-14,21-25H,5-9H2,1-4H3/t10?,11-,12-,13+,14+,15?,16-,17+,18+,19?,20+/m0/s1",0.4823
IMPHY013586,Acetyldihydromicromelin A,COc1cc2oc(=O)ccc2cc1[C@H]1O[C@@H]([C@]2([C@@H]1O2)C)OC(=O)C,"InChI=1S/C17H16O7/c1-8(18)21-16-17(2)15(24-17)14(23-16)10-6-9-4-5-13(19)22-11(9)7-12(10)20-3/h4-7,14-16H,1-3H3/t14-,15-,16+,17-/m1/s1",0.4819
IMPHY013327,"Methyl 2,3,4-tri-O-acetyl-6-O-methyl-alpha-D-galactopyranoside",COC[C@H]1O[C@H](OC)[C@@H]([C@H]([C@H]1OC(=O)C)OC(=O)C)OC(=O)C,"InChI=1S/C14H22O9/c1-7(15)20-11-10(6-18-4)23-14(19-5)13(22-9(3)17)12(11)21-8(2)16/h10-14H,6H2,1-5H3/t10-,11+,12+,13-,14+/m1/s1",0.4818
IMPHY007597,Saussureamine C,NC(=O)C[C@@H](C(=O)O)NC[C@@H]1C(=O)O[C@H]2[C@H]1CCC(=C)[C@H]1[C@@H]2C(=C)CC1,"InChI=1S/C19H26N2O5/c1-9-3-6-12-13(8-21-14(18(23)24)7-15(20)22)19(25)26-17(12)16-10(2)4-5-11(9)16/h11-14,16-17,21H,1-8H2,(H2,20,22)(H,23,24)/t11-,12-,13-,14-,16-,17-/m0/s1",0.479
IMPHY012048,Triacetin,CC(=O)OC(COC(=O)C)COC(=O)C,"InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3",0.4787
IMPHY002199,"methyl (1R,9R,10S,13Z,14R)-13-ethylidene-17-methoxy-11-oxido-18-oxa-8-aza-11-azoniapentacyclo[7.6.3.110,14.01,9.02,7]nonadeca-2,4,6,11-tetraene-15-carboxylate",COC1O[C@@]23[C@](C1)(C(C(=O)OC)[C@H]1C[C@@H]3[N+](=C/C/1=C\C)[O-])c1c(N2)cccc1,"InChI=1S/C21H24N2O5/c1-4-12-11-23(25)16-9-13(12)18(19(24)27-3)20-10-17(26-2)28-21(16,20)22-15-8-6-5-7-14(15)20/h4-8,11,13,16-18,22H,9-10H2,1-3H3/b12-4+/t13-,16-,17?,18?,20-,21-/m0/s1",0.478
IMPHY000895,"(1R,2S,4S,6R,10S,11S,13S,14S)-11-(1-hydroxypropan-2-yl)-3,7,10-trimethyl-15-oxapentacyclo[7.5.1.02,6.07,13.010,14]pentadecane-4,6,9,14-tetrol",OCC([C@@H]1C[C@@H]2[C@@]3([C@@]1(C)C1(O)O[C@@H]3[C@H]3[C@](C2(C1)C)(O)C[C@@H](C3C)O)O)C,"InChI=1S/C20H32O6/c1-9(7-21)11-5-13-16(3)8-19(24)17(11,4)20(13,25)15(26-19)14-10(2)12(22)6-18(14,16)23/h9-15,21-25H,5-8H2,1-4H3/t9?,10?,11-,12-,13-,14-,15+,16?,17+,18+,19?,20+/m0/s1",0.4778
IMPHY008794,Pulchelloid A,C/C=C(\C(=O)O[C@H]1C[C@H]([C@@]2([C@@H]1[C@H](C)[C@@H](O)[C@H]1[C@H]([C@H]2O)C(=C)C(=O)O1)C)O)/C,"InChI=1S/C20H28O7/c1-6-8(2)18(24)26-11-7-12(21)20(5)14(11)10(4)15(22)16-13(17(20)23)9(3)19(25)27-16/h6,10-17,21-23H,3,7H2,1-2,4-5H3/b8-6-/t10-,11-,12+,13+,14+,15+,16+,17+,20+/m0/s1",0.4778
IMPHY005701,"(4aS)-5,6,8-trihydroxy-7-[(2R)-2-hydroxypropyl]-1,2,4a-trimethyl-4H-phenanthrene-3,9-dione",C[C@H](Cc1c(O)c(O)c2c(c1O)C(=O)C=C1[C@]2(C)CC(=O)C(=C1C)C)O,"InChI=1S/C20H22O6/c1-8(21)5-11-17(24)15-13(22)6-12-9(2)10(3)14(23)7-20(12,4)16(15)19(26)18(11)25/h6,8,21,24-26H,5,7H2,1-4H3/t8-,20+/m1/s1",0.4767
IMPHY003782,Indicine,O[C@@H]1CCN2[C@@H]1C(=CC2)COC(=O)[C@]([C@@H](O)C)(C(C)C)O,"InChI=1S/C15H25NO5/c1-9(2)15(20,10(3)17)14(19)21-8-11-4-6-16-7-5-12(18)13(11)16/h4,9-10,12-13,17-18,20H,5-8H2,1-3H3/t10-,12+,13+,15+/m0/s1",0.4758
IMPHY003783,Lycopsamine,O[C@@H]1CCN2[C@@H]1C(=CC2)COC(=O)[C@@]([C@@H](O)C)(C(C)C)O,"InChI=1S/C15H25NO5/c1-9(2)15(20,10(3)17)14(19)21-8-11-4-6-16-7-5-12(18)13(11)16/h4,9-10,12-13,17-18,20H,5-8H2,1-3H3/t10-,12+,13+,15-/m0/s1",0.4758
IMPHY003784,Rinderine,O[C@H]1CCN2[C@@H]1C(=CC2)COC(=O)[C@@]([C@H](O)C)(C(C)C)O,"InChI=1S/C15H25NO5/c1-9(2)15(20,10(3)17)14(19)21-8-11-4-6-16-7-5-12(18)13(11)16/h4,9-10,12-13,17-18,20H,5-8H2,1-3H3/t10-,12+,13-,15+/m1/s1",0.4758
IMPHY003785,Intermedine,O[C@@H]1CCN2[C@@H]1C(=CC2)COC(=O)[C@@]([C@H](O)C)(C(C)C)O,"InChI=1S/C15H25NO5/c1-9(2)15(20,10(3)17)14(19)21-8-11-4-6-16-7-5-12(18)13(11)16/h4,9-10,12-13,17-18,20H,5-8H2,1-3H3/t10-,12-,13-,15+/m1/s1",0.4758
IMPHY003809,"[(7S,8S)-7-hydroxy-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl 2-hydroxy-2-[(1S)-1-hydroxyethyl]-3-methylbutanoate",O[C@H]1CCN2[C@H]1C(=CC2)COC(=O)C([C@@H](O)C)(C(C)C)O,"InChI=1S/C15H25NO5/c1-9(2)15(20,10(3)17)14(19)21-8-11-4-6-16-7-5-12(18)13(11)16/h4,9-10,12-13,17-18,20H,5-8H2,1-3H3/t10-,12-,13-,15?/m0/s1",0.4758
IMPHY008452,Isolycopsamine,OCC1=CCN2[C@H]1[C@@H](CC2)OC(=O)[C@]([C@H](O)C)(C(C)C)O,"InChI=1S/C15H25NO5/c1-9(2)15(20,10(3)18)14(19)21-12-5-7-16-6-4-11(8-17)13(12)16/h4,9-10,12-13,17-18,20H,5-8H2,1-3H3/t10-,12-,13-,15-/m1/s1",0.4758
IMPHY008041,Unii-J6aya4cofq,C/C=C/1\C(=O)O[C@@H]2CCN3[C@@H]2[C@H](CC3)COC(=O)[C@]([C@@H]([C@H]1O)C)(C)O,"InChI=1S/C18H27NO6/c1-4-12-15(20)10(2)18(3,23)17(22)24-9-11-5-7-19-8-6-13(14(11)19)25-16(12)21/h4,10-11,13-15,20,23H,5-9H2,1-3H3/b12-4-/t10-,11-,13-,14-,15-,18-/m1/s1",0.4757
IMPHY005985,Precatorine,C[n+]1cccc(c1)C(=O)Oc1c([O-])cc(cc1O)C(=O)O,"InChI=1S/C14H11NO6/c1-15-4-2-3-8(7-15)14(20)21-12-10(16)5-9(13(18)19)6-11(12)17/h2-7H,1H3,(H2-,16,17,18,19)",0.4744
IMPHY006857,Micromelin,COc1cc2oc(=O)ccc2cc1[C@@H]1OC(=O)[C@@]2([C@H]1O2)C,"InChI=1S/C15H12O6/c1-15-13(21-15)12(20-14(15)17)8-5-7-3-4-11(16)19-9(7)6-10(8)18-2/h3-6,12-13H,1-2H3/t12-,13-,15-/m0/s1",0.4738
IMPHY013175,Cynaratriol,OCC1(O)C(=O)OC2C1CCC(=C)C1C2C(C)C(C1)O,"InChI=1S/C15H22O5/c1-7-3-4-10-13(20-14(18)15(10,19)6-16)12-8(2)11(17)5-9(7)12/h8-13,16-17,19H,1,3-6H2,2H3",0.4734
IMPHY001018,Dihydromikanolide,O=C1O[C@@H]2[C@@H]([C@H]1C)[C@@H]1OC(=O)C(=C1)[C@@H]1[C@H]([C@H]3[C@@](C2)(C)O3)O1,"InChI=1S/C15H16O6/c1-5-9-7-3-6(14(17)18-7)10-11(20-10)12-15(2,21-12)4-8(9)19-13(5)16/h3,5,7-12H,4H2,1-2H3/t5-,7-,8+,9+,10-,11-,12+,15+/m1/s1",0.4733
IMPHY006859,"(2S,3R,5Z)-5-ethylidene-2-hydroxy-2-(hydroxymethyl)-3-methylhexanedioic acid",C/C=C(\C(=O)O)/C[C@H]([C@@](C(=O)O)(CO)O)C,"InChI=1S/C10H16O6/c1-3-7(8(12)13)4-6(2)10(16,5-11)9(14)15/h3,6,11,16H,4-5H2,1-2H3,(H,12,13)(H,14,15)/b7-3-/t6-,10-/m1/s1",0.4733
IMPHY002169,Paniculide C,OC[C@]12C[C@@H]3OC(=O)C(=C3C(=O)[C@@H]2O1)CCC=C(C)C,"InChI=1S/C15H18O5/c1-8(2)4-3-5-9-11-10(19-14(9)18)6-15(7-16)13(20-15)12(11)17/h4,10,13,16H,3,5-7H2,1-2H3/t10-,13-,15-/m0/s1",0.4725
IMPHY003420,Norepinephrine,NC[C@@H](c1ccc(c(c1)O)O)O,"InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1",0.4724
IMPHY004681,Aureusidin,Oc1cc2O/C(=C\c3ccc(c(c3)O)O)/C(=O)c2c(c1)O,"InChI=1S/C15H10O6/c16-8-5-11(19)14-12(6-8)21-13(15(14)20)4-7-1-2-9(17)10(18)3-7/h1-6,16-19H/b13-4-",0.4723
IMPHY004871,Maritimetin,O=C1/C(=C/c2ccc(c(c2)O)O)/Oc2c1ccc(c2O)O,"InChI=1S/C15H10O6/c16-9-3-1-7(5-11(9)18)6-12-13(19)8-2-4-10(17)14(20)15(8)21-12/h1-6,16-18,20H/b12-6-",0.4723
IMPHY005556,"2,3-Dihydroxycinnamic acid",OC(=O)/C=C/c1cccc(c1O)O,"InChI=1S/C9H8O4/c10-7-3-1-2-6(9(7)13)4-5-8(11)12/h1-5,10,13H,(H,11,12)/b5-4+",0.4716
IMPHY011933,Caffeic acid,OC(=O)/C=C/c1ccc(c(c1)O)O,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",0.4716
IMPHY012011,cis-Caffeic acid,OC(=O)/C=C\c1ccc(c(c1)O)O,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-",0.4716
IMPHY007827,Dehydrocyanaropicrin,OCC(=C)C(=O)OC1CC(=C)C2C(C3C1C(=C)C(=O)O3)C(=C)C(=O)C2,"InChI=1S/C19H20O6/c1-8-5-14(24-18(22)9(2)7-20)16-11(4)19(23)25-17(16)15-10(3)13(21)6-12(8)15/h12,14-17,20H,1-7H2",0.471
IMPHY000693,Solstitialin,OC[C@@]1(O)C(=O)O[C@H]2[C@H]1CCC(=C)[C@H]1[C@@H]2C(=C)[C@H](C1)O,"InChI=1S/C15H20O5/c1-7-3-4-10-13(20-14(18)15(10,19)6-16)12-8(2)11(17)5-9(7)12/h9-13,16-17,19H,1-6H2/t9-,10+,11-,12-,13-,15-/m0/s1",0.4701
IMPHY011204,Haematoxylin,Oc1cc2C[C@@]3([C@H](c2cc1O)c1ccc(c(c1OC3)O)O)O,"InChI=1S/C16H14O6/c17-10-2-1-8-13-9-4-12(19)11(18)3-7(9)5-16(13,21)6-22-15(8)14(10)20/h1-4,13,17-21H,5-6H2/t13-,16+/m0/s1",0.4695
